model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
harmonic,0.25,1,0,-0.06305536980940489,-0.2910283367104089,-0.227972966901004,0.227972966901004,0.0008380121205711653,3.9968028886505635e-15,0.22881097902157915,False,False
harmonic,0.25,1,1,-0.1512106160661061,-0.5177325813819236,-0.3665219653158175,0.3665219653158175,0.0008380121205711653,3.9968028886505635e-15,0.36735997743639265,False,False
harmonic,0.25,1,2,-0.06931868000231016,-0.26966526748256175,-0.20034658748025158,0.20034658748025158,0.0008380121205711653,3.9968028886505635e-15,0.20118459960082674,False,False
harmonic,0.25,2,0,-0.08140724346285726,-0.3093786362238104,-0.22797139276095313,0.22797139276095313,0.0008380121205711653,3.9968028886505635e-15,0.2288094048815283,False,False
harmonic,0.25,2,1,-0.06931868000231033,-0.2696652674825623,-0.20034658748025197,0.20034658748025197,0.0008380121205711653,3.9968028886505635e-15,0.20118459960082713,False,False
harmonic,0.25,2,2,-0.1482721637215577,-0.5130530600859442,-0.3647808963643865,0.3647808963643865,0.0008380121205711653,3.9968028886505635e-15,0.36561890848496165,False,False
harmonic,0.75,0,0,-0.2144122377799506,-0.845827046401555,-0.6314148086216045,0.6314148086216045,0.0008666448553009242,3.9968028886505635e-15,0.6322814534769094,False,False
harmonic,0.75,0,1,-0.08720093158844683,-0.485048474580987,-0.39784754299254016,0.39784754299254016,0.0008666448553009242,3.9968028886505635e-15,0.39871418784784507,False,False
harmonic,0.75,0,2,-0.11020980461340579,-0.5188669838193392,-0.40865717920593336,0.40865717920593336,0.0008666448553009242,3.9968028886505635e-15,0.4095238240612383,False,False
harmonic,0.75,1,0,-0.08720093158844704,-0.48504847458098677,-0.3978475429925397,0.3978475429925397,0.0008666448553009242,3.9968028886505635e-15,0.3987141878478446,False,False
harmonic,0.75,1,1,-0.24145728820211854,-0.8621420004303667,-0.6206847122282482,0.6206847122282482,0.0008666448553009242,3.9968028886505635e-15,0.6215513570835531,False,False
harmonic,0.75,1,2,-0.10836355506061485,-0.44451409081523274,-0.3361505357546179,0.3361505357546179,0.0008666448553009242,3.9968028886505635e-15,0.3370171806099228,False,False
